3609;85.0769;87.6821;
3605;84.8718;88.7826;
4006;105.436;89.7174;
3610;85.1282;82.1036;
3665;87.9487;73.3009;
3544;81.7436;76.9558;
3673;88.359;71.6023;
3681;88.7692;70.9573;
3639;86.6154;79.8031;
3477;78.3077;91.7929;
3539;81.4872;82.8986;
3562;82.6667;86.6644;
3738;91.6923;83.3265;
3534;81.2308;97.0919;
3622;85.7436;88.7763;
3687;89.0769;89.3108;
3589;84.0513;80.4366;
3615;85.3846;92.0688;
3660;87.6923;109.381;
3601;84.6667;105.267;
3525;80.7692;88.1783;
3379;73.2821;82.0274;
3509;79.9487;87.9047;
3879;98.9231;88.3409;
3670;88.2051;89.8496;
3460;77.4359;72.3831;
3682;88.8205;80.5282;
3558;82.4615;94.7843;
3466;77.7436;80.4177;
3974;103.795;63.702;
