10783;55.3299;1400.35;
9723;40.0605;1432.98;
10166;46.4419;1395.4;
9690;39.5851;1415.25;
10247;47.6088;1380.13;
9391;35.278;1401.05;
10135;45.9954;1606.75;
10038;44.5981;2273.23;
9572;37.8853;1729.86;
9591;38.159;1433.3;
11354;63.5552;1527.71;
11555;66.4506;1536.21;
10389;49.6543;1407.26;
9845;41.8179;1410.02;
11316;63.0078;1652.51;
9489;36.6897;1506.64;
10409;49.9424;1570.59;
9844;41.8035;1556.92;
9767;40.6943;1499.55;
10225;47.2918;1579.24;
9708;39.8444;1566.89;
9580;38.0006;1457.35;
10184;46.7012;1394.39;
9855;41.962;1370.14;
10057;44.8718;1173.17;
10448;50.5042;1169.65;
10408;49.928;1235.14;
9954;43.3881;1278.51;
10784;55.3443;1174.14;
9895;42.5382;1122.2;
